LME no;All data for 100km coast;SHELF AREA (km2);Ave Annual Catch 2001-10(t);Ave Annual LV (2001-10) 2013 US$;Proportion of collapsed and overexploited from stock status plots (10-yr ave);Ave tourism revenues (2004-2013) 2013 US$;NLDI 2006_LME; Average  LME fish contribution to animal protein of LME coastal countries ;Ave  LME Tourism Contribution to GDPs of LME Coastal Countries
1;East Bering Sea;808921;1013585;1151820959;0.4611;4240125385;0.602;7.4;8.4
2;Gulf of Alaska;276902;800415;633863884;0.4757;14778546015;0.593;8.3;6.1
3;California Current;108358;684135;562754489;0.5222;227105899921;0.577;7.4;8.5
4;Gulf Of California;72646;200748;206088671;0.4591;12873651360;0.758;7.8;13.8
5;Gulf Of Mexico;554183;799817;1664680557;0.5082;252342832240;0.642;7.6;9.0
6;Southeast U.S. Continental Shelf;125639;53945;247412741;0.5236;164160177700;0.542;7.4;8.6
7;Northeast U.S.  Continental Shelf;264238;849101;3872613421;0.7049;203155155345;0.568;7.4;8.4
8;Scotian Shelf;286380;334475;613964143;0.6461;5173178265;0.674;9.7;5.2
9;Newfoundland-Labrador Shelf;378310;337465;1154435733;0.5978;1483428330;0.679;9.7;5.2
10;Insular Pacific - Hawaiian;11121;6503;24041807;0.7400;6096412200;0.536;7.4;8.4
11;Pacific Central - American Coastal;197941;681242;672041692;0.5125;48482410060;0.825;6.9;11.9
12;Caribbean Sea;488035;329378;810509428;0.5413;90454384760;0.750;8.7;18.0
13;Humboldt Current;239011;8072161;5352727743;0.5670;25715476076;0.775;16.2;8.5
14;Patagonian Shelf;1005659;1186533;2486143862;0.4920;41973814380;0.704;3.0;10.0
15;South Brazil Shelf;277790;121827;223115104;0.3727;113066855720;0.681;5.4;9.8
16;East Brazil Shelf;152800;128667;218434686;0.3689;25957913020;0.759;5.4;9.8
17;North Brazil Shelf;459537;291845;560943311;0.3775;6540765380;0.867;8.7;9.5
18;Canadian Eastern Arctic - West Greenland;132981;224833;386045724;0.6022;123602913;0.827;34.2;3.5
19;Greenland Sea;110596;166190;87075441;0.7117;39610000;0.650;39.5;0.0
20;Barents Sea;894940;873258;556441114;0.5728;18288744573;0.848;15.9;6.4
