Region;Year;Month;Mean Mesozooplankton abundance #m^3;mean CCS mm
A1;1975;3;14.33333333;2.7
A1;1975;4;99.44444444;2.776666667
A1;1975;5;;
A1;1975;6;428.6666667;2.7
A1;1975;7;;
A1;1975;8;53.33333333;2.25
A1;1975;9;10.33333333;2.7
A1;1975;10;7.666666667;1.943333333
A1;1975;11;18.22222222;1.516666667
A1;1975;12;5.666666667;1.475
A1;1976;1;6.111111111;2.27
A1;1976;2;0.166666667;2.7
A1;1976;3;0.888888889;2.7
A1;1976;4;3.333333333;2.7
A1;1976;5;29.55555556;2.7
A1;1976;6;1285;2.156666667
A1;1976;7;591.5;2.7
A1;1976;8;;
A1;1976;9;40.33333333;2.7
A1;1976;10;319.6666667;2.266666667
A1;1976;11;;
A1;1976;12;;
A1;1977;1;;
A1;1977;2;0.222222222;
A1;1977;3;43;2.7
A1;1977;4;36.83333333;2.825
A1;1977;5;52;2.7
A1;1977;6;95.08333333;2.205
A1;1977;7;;
A1;1977;8;;
A1;1977;9;69.75;2.453333333
A1;1977;10;35.83333333;1.315
A1;1977;11;;
A1;1977;12;12.55555556;1.86
A1;1978;1;;
A1;1978;2;;
A1;1978;3;13;2.76
A1;1978;4;196;2.7
A1;1978;5;41.33333333;2.71
A1;1978;6;311.8333333;2.12
A1;1978;7;606.4444444;2.466666667
A1;1978;8;25.11111111;1.835
A1;1978;9;;
A1;1978;10;;
A1;1978;11;11.11111111;
A1;1978;12;17.22222222;0.93
A1;1979;1;0.222222222;
A1;1979;2;;
A1;1979;3;;
A1;1979;4;6.666666667;2.663333333
A1;1979;5;;
A1;1979;6;;
A1;1979;7;;
A1;1979;8;;
A1;1979;9;;
A1;1979;10;25.33333333;1.47
A1;1979;11;;
A1;1979;12;;
A1;1980;1;;
A1;1980;2;;
A1;1980;3;;
A1;1980;4;;
A1;1980;5;290;2.7
A1;1980;6;;
A1;1980;7;24.66666667;2.7
A1;1980;8;;
A1;1980;9;;
A1;1980;10;23.33333333;2.7
A1;1980;11;;
A1;1980;12;;
A1;1981;1;;
A1;1981;2;;
A1;1981;3;0.333333333;2.7
A1;1981;4;18.66666667;2.766666667
A1;1981;5;8.555555556;2.7
A1;1981;6;31;2.3175
A1;1981;7;;
A1;1981;8;;
A1;1981;9;;
A1;1981;10;21.33333333;2.49
A1;1981;11;0;
A1;1981;12;11.88888889;2.07
A1;1982;1;;
A1;1982;2;;
A1;1982;3;;
A1;1982;4;;
A1;1982;5;;
A1;1982;6;;
A1;1982;7;;
A1;1982;8;;
A1;1982;9;;
A1;1982;10;;
A1;1982;11;;
A1;1982;12;;
A1;1983;1;;
A1;1983;2;;
A1;1983;3;;
A1;1983;4;;
A1;1983;5;;
A1;1983;6;;
A1;1983;7;;
A1;1983;8;;
A1;1983;9;;
A1;1983;10;;
A1;1983;11;;
A1;1983;12;;
A1;1984;1;;
A1;1984;2;;
A1;1984;3;;
A1;1984;4;;
A1;1984;5;;
A1;1984;6;;
A1;1984;7;;
A1;1984;8;;
A1;1984;9;;
A1;1984;10;;
A1;1984;11;;
A1;1984;12;;
A1;1985;1;;
A1;1985;2;;
A1;1985;3;;
A1;1985;4;;
A1;1985;5;;
A1;1985;6;;
A1;1985;7;;
