A1, 1, 3.74129923600000000000, 18, 2.18222222216666666666, 12
A1, 2, 3.09919242557894736842, 19, 2.59000000000000000000, 15
A1, 3, 24.34689153055555555555, 18, 2.51200980388235294117, 17
A1, 4, 104.22994829045454545454, 22, 2.52478733772727272727, 22
A1, 5, 257.86040005721739130434, 23, 2.24462881930434782608, 23
A1, 6, 382.40177248850000000000, 20, 2.23497936510000000000, 20
A1, 7, 681.34776992666666666666, 18, 2.36504647794444444444, 18
A1, 8, 182.21431117222222222222, 18, 2.30210488035294117647, 17
A1, 9, 200.49052285488235294117, 17, 1.95817273576470588235, 17
A1, 10, 158.81867283737500000000, 24, 1.84058333333333333333, 24
A1, 11, 74.37964947175000000000, 20, 2.01139519141176470588, 17
A1, 12, 7.41985483666666666666, 21, 1.97940079364285714285, 14
A6, 1, 4.83927299515625000000, 32, 2.57405702630769230769, 26
A6, 2, 5.34212199850000000000, 36, 2.54126100867741935483, 31
A6, 3, 5.86071492834146341463, 41, 2.63787098087179487179, 39
A6, 4, 24.16725647362857142857, 35, 2.60455567956250000000, 32
A6, 5, 193.14094983439473684210, 38, 2.29413257576315789473, 38
A6, 6, 350.00496696611111111111, 36, 2.14720443675000000000, 36
A6, 7, 449.02811678243243243243, 37, 1.70489680105405405405, 37
A6, 8, 217.58200247890243902439, 41, 1.94095280651282051282, 39
A6, 9, 127.87659826713157894736, 38, 2.26815492537837837837, 37
A6, 10, 53.94371092097560975609, 41, 2.54588808202631578947, 38
A6, 11, 14.04376877564285714285, 42, 2.71778165807317073170, 41
A6, 12, 4.83401222373333333333, 30, 2.54305402934615384615, 26
A8, 1, , 0, , 0
A8, 2, , 0, , 0
A8, 3, .88888888900000000000, 1, 2.70000000000000000000, 1
A8, 4, , 0, , 0
A8, 5, 284.04814815000000000000, 2, 2.11166666650000000000, 2
A8, 6, 77.82539681666666666666, 3, .68000000000000000000, 2
A8, 7, 11.18518518666666666666, 3, .68000000000000000000, 2
A8, 8, 10.80952381000000000000, 2, .68000000000000000000, 1
A8, 9, 21.23976608000000000000, 3, .94500000000000000000, 2
A8, 10, , 0, , 0
A8, 11, , 0, , 0
A8, 12, , 0, , 0
Alaskan Shelf, 1, , 0, , 0
Alaskan Shelf, 2, , 0, , 0
Alaskan Shelf, 3, 19.52095959433333333333, 3, 3.90471430800000000000, 2
Alaskan Shelf, 4, 148.54626023614285714285, 7, 4.17397212900000000000, 7
Alaskan Shelf, 5, 306.09848485400000000000, 5, 3.19289437920000000000, 5
Alaskan Shelf, 6, 99.61323231940000000000, 5, 3.53687089020000000000, 5
Alaskan Shelf, 7, 202.36401515000000000000, 6, 2.19907397566666666666, 6
Alaskan Shelf, 8, 189.87727271166666666666, 6, 1.84192420000000000000, 6
Alaskan Shelf, 9, 143.80227274500000000000, 6, 1.66435752683333333333, 6
Alaskan Shelf, 10, 279.81481483500000000000, 2, 1.48783930250000000000, 2
Alaskan Shelf, 11, , 0, , 0
Alaskan Shelf, 12, , 0, , 0
Aleutian shelf, 1, , 0, , 0
Aleutian shelf, 2, , 0, , 0
Aleutian shelf, 3, 32.94444444000000000000, 1, 2.90452381000000000000, 1
Aleutian shelf, 4, 50.01031745200000000000, 5, 4.20135659780000000000, 5
Aleutian shelf, 5, 217.75277778500000000000, 4, 3.57823907975000000000, 4
Aleutian shelf, 6, 267.93968254222222222222, 9, 3.06392426822222222222, 9
Aleutian shelf, 7, 154.16074073333333333333, 3, 2.97841523500000000000, 3
Aleutian shelf, 8, 839.67222240000000000000, 2, 3.08113854350000000000, 2
Aleutian shelf, 9, 190.31944443325000000000, 4, 2.23486829866666666666, 3
Aleutian shelf, 10, 511.69444445000000000000, 2, 1.42654927150000000000, 2
Aleutian shelf, 11, , 0, , 0
Aleutian shelf, 12, 25.66666667000000000000, 1, 3.20667701900000000000, 1
ARCH, 1, , 0, , 0
ARCH, 2, , 0, , 0
ARCH, 3, , 0, , 0
ARCH, 4, , 0, , 0
ARCH, 5, 56.52000000000000000000, 1, 1.11460000000000000000, 1
ARCH, 6, , 0, , 0
ARCH, 7, , 0, , 0
ARCH, 8, , 0, , 0
ARCH, 9, , 0, , 0
ARCH, 10, , 0, , 0
ARCH, 11, , 0, , 0
ARCH, 12, , 0, , 0
AUSE, 1, 15.34000000000000000000, 1, 1.14760000000000000000, 1
AUSE, 2, , 0, , 0
AUSE, 3, 63.30000000000000000000, 2, 1.18860000000000000000, 2
AUSE, 4, 89.77000000000000000000, 1, 1.17430000000000000000, 1
AUSE, 5, 66.08000000000000000000, 2, 1.22965000000000000000, 2
AUSE, 6, 43.03000000000000000000, 2, 1.31030000000000000000, 2
AUSE, 7, 35.86500000000000000000, 2, 1.21240000000000000000, 2
AUSE, 8, 48.63000000000000000000, 2, 1.32405000000000000000, 2
AUSE, 9, 110.10000000000000000000, 1, 1.28550000000000000000, 1
AUSE, 10, 54.70500000000000000000, 2, 1.15205000000000000000, 2
AUSE, 11, 90.64000000000000000000, 1, 1.20340000000000000000, 1
AUSE, 12, 38.70000000000000000000, 3, 1.18113333333333333333, 3
AUSW, 1, 55.83000000000000000000, 1, 1.10220000000000000000, 1
AUSW, 2, , 0, , 0
AUSW, 3, 34.35000000000000000000, 1, 1.16310000000000000000, 1
AUSW, 4, 81.36500000000000000000, 2, 1.22110000000000000000, 2
AUSW, 5, , 0, , 0
AUSW, 6, , 0, , 0
AUSW, 7, , 0, , 0
AUSW, 8, 19.29000000000000000000, 1, 1.52380000000000000000, 1
AUSW, 9, , 0, , 0
