Year,FAO,Effective effort (kilowatt)
1989,41,65318.70
1989,48,2081685.80
1989,58,5205855.84
1989,61,4.61
1989,67,1246.26
1989,81,320435.55
1989,88,0.01
1990,21,4393.20
1990,34,2037227.17
1990,41,60839.30
1990,48,2447699.93
1990,58,3810868.92
1990,61,0.83
1990,67,747.88
1990,81,331227.22
1991,21,5476.67
1991,27,0.00
1991,34,2.60
1991,41,972.23
1991,48,199322.91
1991,58,1645752.44
1991,61,16.01
1991,67,59.82
1991,81,377443.61
1992,21,11279.94
1992,27,0.00
1992,34,9227.49
1992,41,34558.56
1992,48,41735.92
1992,58,3565092.26
1992,61,1.15
1992,67,356.26
1992,81,0.52
1993,21,250886.15
1993,27,0.24
1993,34,2577.68
1993,41,60823.84
1993,58,1017737.85
1993,61,2.23
1993,67,21.63
1993,81,0.15
1994,21,10393308.66
1994,27,0.01
1994,34,1811.04
1994,41,1330.33
1994,48,216255.86
1994,58,445798.41
1994,61,23.08
1994,67,224.70
1994,81,1.63
1995,21,3013489.69
1995,27,0.25
1995,34,1751.31
1995,41,58893.51
1995,48,158453.06
1995,58,48489.10
1995,61,2.59
1995,67,82.44
1995,81,2.25
1996,21,3592272.52
1996,34,435.33
1996,41,72032.88
1996,58,18468.85
1996,61,0.96
1996,67,747.51
1996,81,0.84
1997,21,6287723.26
1997,34,130.51
1997,41,62052.74
1997,58,27859.44
1997,61,2.62
1997,67,381.62
1997,81,4.40
1998,21,3631009.73
1998,34,65.33
1998,41,59368.28
1998,48,845538.69
1998,58,10096.32
1998,61,9.33
1998,67,102.24
1998,71,0.00
1998,81,38.96
1999,21,2069853.77
1999,27,823.08
1999,34,0.01
1999,41,63600.58
1999,48,475959.06
1999,58,405205.44
1999,61,12.40
1999,67,28.22
1999,71,0.00
1999,81,410.04
2000,21,1348117.66
2000,27,3068.80
2000,34,1.98
2000,41,317810.33
2000,48,357278.59
2000,58,183983.42
2000,61,5.85
2000,67,52.20
2000,71,0.00
2000,81,2253.92
2001,21,1538421.66
2001,27,4576.75
2001,34,29.32
2001,41,953682.69
2001,48,473706.16
2001,58,470110.89
2001,61,77.11
2001,67,16.03
2001,71,0.00
2001,81,2339.46
2001,88,0.01
2002,21,1478866.93
2002,27,3845.61
2002,34,1432.94
2002,41,146593.47
2002,58,111854.28
2002,61,4.85
2002,67,81.35
2002,71,0.00
2002,81,2136.52
2003,21,1434205.46
2003,34,325.96
2003,41,1061888.88
2003,58,57413.54
2003,61,5.07
2003,67,1907.16
2003,71,0.00
2003,81,540.48
2004,21,960437.61
2004,27,51.71
2004,34,23972.93
2004,41,665501.51
2004,58,60277.63
2004,61,188.76
2004,67,311.03
2004,71,101.77
2004,81,92522.31
2005,21,527897.52
2005,27,0.10
2005,34,867.47
2005,41,447161.67
2005,58,51974.04
2005,61,202.15
2005,67,35.71
2005,71,92.30
2005,81,20614.57
2006,21,1334508.12
2006,27,445.70
2006,34,15402.37
2006,41,202589.22
2006,48,690636.25
2006,58,2601.29
2006,61,63.21
2006,67,11.98
2006,71,73.92
2006,81,71314.23
2006,88,0.07
