Year,FishCountry,TaxonName,CommonName,SumCatch
1953,Canada,Thunnus thynnus,Atlantic bluefin tuna,46.49613546
1953,Chile,Scombridae,Mackerels  tunas and bonitos,417.9843085
1953,France,Thunnus thynnus,Atlantic bluefin tuna,1644.688099
1953,Guam (USA),Scombridae,Mackerels  tunas and bonitos,3.539016991
1953,Japan,Thunnus alalunga,Albacore,24554.82692
1953,Japan,Thunnus obesus,Bigeye tuna,17107.76918
1953,Japan,Thunnus orientalis,Pacific bluefin tuna,3472.777695
1953,Japan,Katsuwonus pelamis,Skipjack tuna,20366.58809
1953,Japan,Thunnus maccoyii,Southern bluefin tuna,8001.815133
1953,Japan,Thunnus albacares,Yellowfin tuna,17306.00747
1953,Korea (South),Thunnus orientalis,Pacific bluefin tuna,293.3727545
1953,New Zealand,Thunnus maccoyii,Southern bluefin tuna,68.38427924
1953,Norway,Thunnus thynnus,Atlantic bluefin tuna,133.4667217
1953,Philippines,Euthynnus affinis,Kawakawa,6396.037324
1953,Portugal,Thunnus obesus,Bigeye tuna,760.4142954
1953,Portugal,Katsuwonus pelamis,Skipjack tuna,117.2136644
1953,Réunion (France),Thunnus alalunga,Albacore,5.611771641
1953,Réunion (France),Katsuwonus pelamis,Skipjack tuna,13.73902773
1953,Réunion (France),Thunnus albacares,Yellowfin tuna,72.52768543
1953,Saint Helena (UK),Thunnus albacares,Yellowfin tuna,86.58966732
1953,Spain,Thunnus thynnus,Atlantic bluefin tuna,508.7346574
1953,Taiwan,Thunnus albacares,Yellowfin tuna,3848.574581
1953,USA,Thunnus alalunga,Albacore,9902.165431
1953,USA,Thunnus thynnus,Atlantic bluefin tuna,299.4119318
1953,USA,Euthynnus alletteratus,Little tunny,0.93798095
1953,USA,Scombridae,Mackerels  tunas and bonitos,10.83114541
1953,USA,Thunnus orientalis,Pacific bluefin tuna,3000.098745
1953,USA,Katsuwonus pelamis,Skipjack tuna,42932.52985
1953,USA,Thunnus albacares,Yellowfin tuna,40596.09589
1954,Angola,Euthynnus alletteratus,Little tunny,207.2153612
1954,Angola,Thunnus albacares,Yellowfin tuna,3118.413902
1954,Australia,Scombridae,Mackerels  tunas and bonitos,120.2147839
1954,Australia,Thunnus maccoyii,Southern bluefin tuna,401.0093514
1954,Barbados,Makaira nigricans,Blue marlin,95.05079378
1954,Brazil,Katsuwonus pelamis,Skipjack tuna,12.83131607
1954,Brazil,Thunnus albacares,Yellowfin tuna,1773.588599
1954,Canada,Thunnus thynnus,Atlantic bluefin tuna,65.54951871
1954,Chile,Scombridae,Mackerels  tunas and bonitos,440.5677262
1954,France,Thunnus thynnus,Atlantic bluefin tuna,593.3499945
1954,Guam (USA),Scombridae,Mackerels  tunas and bonitos,6.632602262
1954,Japan,Thunnus alalunga,Albacore,38460.96816
1954,Japan,Thunnus obesus,Bigeye tuna,22293.88155
1954,Japan,Thunnus orientalis,Pacific bluefin tuna,5471.715239
1954,Japan,Katsuwonus pelamis,Skipjack tuna,41302.75414
1954,Japan,Thunnus maccoyii,Southern bluefin tuna,6980.15258
1954,Japan,Thunnus albacares,Yellowfin tuna,36090.21417
1954,Korea (South),Thunnus orientalis,Pacific bluefin tuna,0.247207808
1954,Mexico,Thunnus albacares,Yellowfin tuna,172.7272684
1954,New Zealand,Thunnus maccoyii,Southern bluefin tuna,81.22406597
1954,Norway,Thunnus thynnus,Atlantic bluefin tuna,711.326439
1954,Philippines,Euthynnus affinis,Kawakawa,9953.870864
1954,Portugal,Thunnus obesus,Bigeye tuna,1079.349406
1954,Portugal,Katsuwonus pelamis,Skipjack tuna,170.5638398
1954,Réunion (France),Thunnus alalunga,Albacore,5.799395676
1954,Réunion (France),Katsuwonus pelamis,Skipjack tuna,14.34185033
1954,Réunion (France),Thunnus albacares,Yellowfin tuna,75.62561433
1954,Saint Helena (UK),Thunnus albacares,Yellowfin tuna,92.8129279
1954,Spain,Thunnus thynnus,Atlantic bluefin tuna,779.060501
