Year,FishCountry,TaxonName,CommonName,SumCatch
1960,Chile,Scombridae,Mackerels  tunas and bonitos,60.50810749
1960,Estonia,Scombridae,Mackerels  tunas and bonitos,2.411860331
1960,France,Thunnus thynnus,Atlantic bluefin tuna,104.9530014
1960,France,Thunnus albacares,Yellowfin tuna,5151.166571
1960,Georgia,Scombridae,Mackerels  tunas and bonitos,0.504910455
1960,Guam (USA),Scombridae,Mackerels  tunas and bonitos,7.048751978
1960,Indonesia,Euthynnus affinis,Kawakawa,39.50505784
1960,Indonesia,Thunnus tonggol,Longtail tuna,44.81821056
1960,Indonesia,Scombridae,Mackerels  tunas and bonitos,97.41173428
1960,Indonesia,Katsuwonus pelamis,Skipjack tuna,637.4889368
1960,Indonesia,Thunnus albacares,Yellowfin tuna,314.9245841
1960,Japan,Thunnus alalunga,Albacore,73444.62005
1960,Japan,Thunnus thynnus,Atlantic bluefin tuna,329.440745
1960,Japan,Thunnus obesus,Bigeye tuna,68378.90831
1960,Japan,Makaira nigricans,Blue marlin,826.3069179
1960,Japan,Scombridae,Mackerels  tunas and bonitos,187.9801977
1960,Japan,Thunnus orientalis,Pacific bluefin tuna,19696.45793
1960,Japan,Katsuwonus pelamis,Skipjack tuna,37083.38084
1960,Japan,Thunnus maccoyii,Southern bluefin tuna,31964.09256
1960,Japan,Thunnus albacares,Yellowfin tuna,120260.7322
1960,Korea (South),Thunnus orientalis,Pacific bluefin tuna,0.160236956
1960,Latvia,Scombridae,Mackerels  tunas and bonitos,3.632678524
1960,Lithuania,Scombridae,Mackerels  tunas and bonitos,3.364694042
1960,Mexico,Katsuwonus pelamis,Skipjack tuna,352.3275513
1960,Mexico,Thunnus albacares,Yellowfin tuna,3107.47657
1960,New Zealand,Katsuwonus pelamis,Skipjack tuna,0.215686236
1960,Norway,Thunnus thynnus,Atlantic bluefin tuna,48.71117848
1960,Peru,Katsuwonus pelamis,Skipjack tuna,7086.763427
1960,Peru,Thunnus albacares,Yellowfin tuna,2703.769572
1960,Philippines,Euthynnus affinis,Kawakawa,8333.258044
1960,Poland,Thunnus thynnus,Atlantic bluefin tuna,0.585280158
1960,Portugal,Thunnus obesus,Bigeye tuna,1029.205464
1960,Portugal,Katsuwonus pelamis,Skipjack tuna,90.03493587
1960,Réunion (France),Thunnus alalunga,Albacore,5.838436207
1960,Réunion (France),Katsuwonus pelamis,Skipjack tuna,14.46881886
1960,Réunion (France),Thunnus albacares,Yellowfin tuna,76.27723154
1960,Russian Federation,Scombridae,Mackerels  tunas and bonitos,13.19202078
1960,Saint Helena (UK),Thunnus albacares,Yellowfin tuna,94.16648881
1960,Spain,Thunnus thynnus,Atlantic bluefin tuna,889.2312486
1960,Spain,Thunnus obesus,Bigeye tuna,69.22193479
1960,Taiwan,Thunnus alalunga,Albacore,187.3349541
1960,Taiwan,Thunnus obesus,Bigeye tuna,2018.808597
1960,Taiwan,Scombridae,Mackerels  tunas and bonitos,137.6628618
1960,Taiwan,Thunnus orientalis,Pacific bluefin tuna,97.56548672
1960,Taiwan,Katsuwonus pelamis,Skipjack tuna,429.6513634
1960,Taiwan,Thunnus albacares,Yellowfin tuna,5180.084109
1960,Ukraine,Scombridae,Mackerels  tunas and bonitos,7.131860174
1960,USA,Thunnus alalunga,Albacore,14768.49053
1960,USA,Thunnus thynnus,Atlantic bluefin tuna,335.725326
1960,USA,Euthynnus alletteratus,Little tunny,0.418306248
1960,USA,Scombridae,Mackerels  tunas and bonitos,29.51215974
1960,USA,Thunnus orientalis,Pacific bluefin tuna,5060.605249
1960,USA,Katsuwonus pelamis,Skipjack tuna,21691.66403
1960,USA,Thunnus albacares,Yellowfin tuna,71169.29817
1961,Angola,Euthynnus alletteratus,Little tunny,146.4625411
1961,Angola,Thunnus albacares,Yellowfin tuna,2331.571293
1961,Australia,Scombridae,Mackerels  tunas and bonitos,7.79628323
1961,Australia,Thunnus maccoyii,Southern bluefin tuna,933.1469941
1961,Barbados,Makaira nigricans,Blue marlin,288.0031554
1961,Brazil,Makaira nigricans,Blue marlin,14.76869797
1961,Brazil,Katsuwonus pelamis,Skipjack tuna,274.2112596
1961,Brazil,Thunnus albacares,Yellowfin tuna,2940.042579
1961,Canada,Thunnus alalunga,Albacore,0.242477862
1961,Canada,Thunnus thynnus,Atlantic bluefin tuna,51.30185118
