Year,FAO,FAO_Name,Catch (tonnes/year)
1976,58,Indian Ocean (Antarctic),99.30807906
1976,61,Northwest Pacific,76320.39443
1976,67,Northeast Pacific,8042.524476
1976,71,Western Central Pacific,18282.61112
1976,77,Eastern Central Pacific,2028.439037
1976,81,Southwest Pacific,4721.537842
1976,87,Southeast Pacific,5459.045063
1977,18,Arctic Sea,0.022605122
1977,21,Northwest Atlantic,51797.97111
1977,27,Northeast Atlantic,18485.55496
1977,31,Western Central Atlantic,1065.114636
1977,34,Eastern Central Atlantic,4906.308691
1977,41,Southwest Atlantic,27071.21341
1977,47,Southeast Atlantic,2553.716554
1977,48,Atlantic (Antarctic),8631.739775
1977,51,Western Indian Ocean,52995.80389
1977,57,Eastern Indian Ocean,3550.563405
1977,58,Indian Ocean (Antarctic),681.642103
1977,61,Northwest Pacific,75297.15406
1977,67,Northeast Pacific,8367.594115
1977,71,Western Central Pacific,19286.3919
1977,77,Eastern Central Pacific,1208.250842
1977,81,Southwest Pacific,19560.64709
1977,87,Southeast Pacific,12499.15083
1978,18,Arctic Sea,0.022605122
1978,21,Northwest Atlantic,46843.29036
1978,27,Northeast Atlantic,19796.00043
1978,31,Western Central Atlantic,875.9223157
1978,34,Eastern Central Atlantic,2743.139651
1978,41,Southwest Atlantic,42873.604
1978,47,Southeast Atlantic,1940.385614
1978,48,Atlantic (Antarctic),161555.3413
1978,51,Western Indian Ocean,55637.68929
1978,57,Eastern Indian Ocean,4002.304196
1978,58,Indian Ocean (Antarctic),773.41427
1978,61,Northwest Pacific,47349.78932
1978,67,Northeast Pacific,6849.896534
1978,71,Western Central Pacific,20170.66016
1978,77,Eastern Central Pacific,3249.650489
1978,81,Southwest Pacific,49898.91137
1978,87,Southeast Pacific,38616.17848
1978,88,Pacific (Antarctic),0.45714286
1979,18,Arctic Sea,0.022605122
1979,21,Northwest Atlantic,52274.11264
1979,27,Northeast Atlantic,13564.38385
1979,31,Western Central Atlantic,1437.797976
1979,34,Eastern Central Atlantic,2701.665583
1979,41,Southwest Atlantic,47815.20197
1979,47,Southeast Atlantic,1853.504989
1979,48,Atlantic (Antarctic),68396.21839
1979,51,Western Indian Ocean,58882.7438
1979,57,Eastern Indian Ocean,4279.706229
1979,58,Indian Ocean (Antarctic),323.8703218
1979,61,Northwest Pacific,60642.58443
1979,67,Northeast Pacific,5515.775941
1979,71,Western Central Pacific,17998.12471
1979,77,Eastern Central Pacific,2835.918543
1979,81,Southwest Pacific,67008.27769
1979,87,Southeast Pacific,10012.81783
1979,88,Pacific (Antarctic),47.95298417
1980,18,Arctic Sea,0.022605122
1980,21,Northwest Atlantic,42680.18745
1980,27,Northeast Atlantic,26236.97383
1980,31,Western Central Atlantic,1829.681569
1980,34,Eastern Central Atlantic,11914.71561
1980,41,Southwest Atlantic,63178.06017
1980,47,Southeast Atlantic,1415.40345
1980,48,Atlantic (Antarctic),24387.3543
1980,51,Western Indian Ocean,53903.22412
1980,57,Eastern Indian Ocean,4230.765971
1980,58,Indian Ocean (Antarctic),1468.559317
1980,61,Northwest Pacific,54073.46042
1980,67,Northeast Pacific,6161.815227
1980,71,Western Central Pacific,18353.85115
1980,77,Eastern Central Pacific,3742.465853
1980,81,Southwest Pacific,78980.19835
1980,87,Southeast Pacific,5688.790526
1980,88,Pacific (Antarctic),0.956954953
1981,18,Arctic Sea,0.028307861
1981,21,Northwest Atlantic,41127.64977
1981,27,Northeast Atlantic,17461.02077
1981,31,Western Central Atlantic,2357.574508
1981,34,Eastern Central Atlantic,8251.32836
1981,41,Southwest Atlantic,74591.59261
1981,47,Southeast Atlantic,2285.376504
1981,48,Atlantic (Antarctic),28628.18531
1981,51,Western Indian Ocean,61681.52221
1981,57,Eastern Indian Ocean,4952.473501
1981,58,Indian Ocean (Antarctic),1145.3629
1981,61,Northwest Pacific,42380.94625
1981,67,Northeast Pacific,5036.23653
1981,71,Western Central Pacific,16254.59159
1981,77,Eastern Central Pacific,4810.394022
1981,81,Southwest Pacific,83552.20304
1981,87,Southeast Pacific,5227.749047
1981,88,Pacific (Antarctic),133.2798941
1982,18,Arctic Sea,0.022605122
1982,21,Northwest Atlantic,41175.87864
1982,27,Northeast Atlantic,32651.68273
1982,31,Western Central Atlantic,2995.520307
1982,34,Eastern Central Atlantic,5255.521439
1982,41,Southwest Atlantic,101116.0503
1982,47,Southeast Atlantic,1860.995485
1982,48,Atlantic (Antarctic),50654.54252
1982,51,Western Indian Ocean,71201.38249
1982,57,Eastern Indian Ocean,13569.47762
1982,58,Indian Ocean (Antarctic),32528.45412
1982,61,Northwest Pacific,46543.3468
1982,67,Northeast Pacific,3161.432878
1982,71,Western Central Pacific,17904.29645
1982,77,Eastern Central Pacific,3236.830644
1982,81,Southwest Pacific,81458.69682
1982,87,Southeast Pacific,4147.535894
1982,88,Pacific (Antarctic),1.63775E-05
1983,18,Arctic Sea,0.035842902
1983,21,Northwest Atlantic,39882.99157
1983,27,Northeast Atlantic,35158.52235
1983,31,Western Central Atlantic,3359.34095
1983,34,Eastern Central Atlantic,5774.583503
1983,41,Southwest Atlantic,146781.3055
1983,47,Southeast Atlantic,1488.918469
1983,48,Atlantic (Antarctic),144533.8155
1983,51,Western Indian Ocean,34778.61877
1983,57,Eastern Indian Ocean,19720.16457
1983,58,Indian Ocean (Antarctic),13501.51857
1983,61,Northwest Pacific,72443.82426
1983,67,Northeast Pacific,2393.005295
1983,71,Western Central Pacific,18878.57827
1983,77,Eastern Central Pacific,2559.847967
1983,81,Southwest Pacific,103634.2352
1983,87,Southeast Pacific,4356.541674
1983,88,Pacific (Antarctic),8.60495E-05
1984,18,Arctic Sea,0.028307861
1984,21,Northwest Atlantic,43267.62576
1984,27,Northeast Atlantic,35536.88255
1984,31,Western Central Atlantic,3878.089584
1984,34,Eastern Central Atlantic,5604.388443
1984,41,Southwest Atlantic,171651.2099
1984,47,Southeast Atlantic,1240.675293
1984,48,Atlantic (Antarctic),18783.35154
1984,51,Western Indian Ocean,32298.66697
1984,57,Eastern Indian Ocean,24856.11387
1984,58,Indian Ocean (Antarctic),3290.578076
1984,61,Northwest Pacific,69371.73467
1984,67,Northeast Pacific,2485.741706
1984,71,Western Central Pacific,26104.32295
1984,77,Eastern Central Pacific,3404.763195
1984,81,Southwest Pacific,87663.21674
1984,87,Southeast Pacific,5714.95478
1984,88,Pacific (Antarctic),0.45714286
1985,18,Arctic Sea,0.022605122
1985,21,Northwest Atlantic,64408.98046
1985,27,Northeast Atlantic,24565.61672
1985,31,Western Central Atlantic,3013.254809
1985,34,Eastern Central Atlantic,5426.701369
1985,41,Southwest Atlantic,286663.4864
1985,47,Southeast Atlantic,2929.200639
1985,48,Atlantic (Antarctic),2843.946441
1985,51,Western Indian Ocean,41687.66717
1985,57,Eastern Indian Ocean,34712.98704
1985,58,Indian Ocean (Antarctic),25842.13648
1985,61,Northwest Pacific,76409.40833
1985,67,Northeast Pacific,3225.724361
1985,71,Western Central Pacific,29358.28136
1985,77,Eastern Central Pacific,4440.756927
1985,81,Southwest Pacific,81188.7253
1985,87,Southeast Pacific,5766.831082
1985,88,Pacific (Antarctic),0.000117036
