LME_NAME,LME_CODE,PROD,PERIOD,N,MEAN
BALTIC_SEA,23,CHL,1998-2013,16,3.900
YELLOW_SEA,48,CHL,1998-2013,16,1.942
LAPTEV_SEA,57,CHL,1998-2013,16,1.428
EAST_SIBERIAN_SEA,56,CHL,1998-2013,16,1.277
NORTHEAST_US_CONTINENTAL_SHELF,7,CHL,1998-2013,16,1.019
KARA_SEA,58,CHL,1998-2013,16,0.998
NORTH_SEA,22,CHL,1998-2013,16,0.945
BLACK_SEA,62,CHL,1998-2013,16,0.942
SCOTIAN_SHELF,8,CHL,1998-2013,16,0.854
PATAGONIAN_SHELF,14,CHL,1998-2013,16,0.839
SEA_OF_OKHOTSK,52,CHL,1998-2013,16,0.774
HUDSON_BAY_COMPLEX,63,CHL,1998-2013,16,0.701
EAST_BERING_SEA,1,CHL,1998-2013,16,0.692
NORTHERN_BERING_CHUKCHI_SEAS,54,CHL,1998-2013,16,0.664
CELTIC_BISCAY_SHELF,24,CHL,1998-2013,16,0.641
WEST_BERING_SEA,53,CHL,1998-2013,16,0.606
LABRADOR_NEWFOUNDLAND,9,CHL,1998-2013,16,0.576
GULF_OF_CALIFORNIA,4,CHL,1998-2013,16,0.572
BENGUELA_CURRENT,29,CHL,1998-2013,16,0.550
GULF_OF_ALASKA,2,CHL,1998-2013,16,0.534
ICELAND_SHELF_AND_SEA,59,CHL,1998-2013,16,0.511
ALEUTIAN_ISLANDS,65,CHL,1998-2013,16,0.507
OYASHIO_CURRENT,51,CHL,1998-2013,16,0.493
EAST_CHINA_SEA,47,CHL,1998-2013,16,0.477
BEAUFORT_SEA,55,CHL,1998-2013,16,0.463
CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,18,CHL,1998-2013,16,0.458
CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,66,CHL,1998-2013,16,0.456
BARENTS_SEA,20,CHL,1998-2013,16,0.455
ANTARCTICA,61,CHL,1998-2013,16,0.454
NORWEGIAN_SEA,21,CHL,1998-2013,16,0.450
FAROE_PLATEAU,60,CHL,1998-2013,16,0.434
NORTH_AUSTRALIAN_SHELF,39,CHL,1998-2013,16,0.424
HUMBOLDT_CURRENT,13,CHL,1998-2013,16,0.417
GREENLAND_SEA,19,CHL,1998-2013,16,0.417
SEA_OF_JAPAN,50,CHL,1998-2013,16,0.414
CANARY_CURRENT,27,CHL,1998-2013,16,0.374
NORTH_BRAZIL_SHELF,17,CHL,1998-2013,16,0.373
CENTRAL_ARCTIC,64,CHL,1998-2013,16,0.373
ARABIAN_SEA,32,CHL,1998-2013,16,0.368
IBERIAN_COASTAL,25,CHL,1998-2013,16,0.318
GULF_OF_THAILAND,35,CHL,1998-2013,16,0.312
GUINEA_CURRENT,28,CHL,1998-2013,16,0.308
NEW_ZEALAND_SHELF,46,CHL,1998-2013,16,0.288
PACIFIC_CENTRAL_AMERICAN_COASTAL,11,CHL,1998-2013,16,0.281
SOUTHEAST_AUSTRALIAN_SHELF,42,CHL,1998-2013,16,0.268
INDONESIAN_SEA,38,CHL,1998-2013,16,0.256
RED_SEA,33,CHL,1998-2013,16,0.252
SOUTH_BRAZIL_SHELF,15,CHL,1998-2013,16,0.235
SOUTHEAST_US_CONTINENTAL_SHELF,6,CHL,1998-2013,16,0.216
CALIFORNIA_CURRENT,3,CHL,1998-2013,16,0.213
BAY_OF_BENGAL,34,CHL,1998-2013,16,0.211
GULF_OF_MEXICO,5,CHL,1998-2013,16,0.208
SOMALI_COASTAL_CURRENT,31,CHL,1998-2013,16,0.193
SOUTH_WEST_AUSTRALIAN_SHELF,43,CHL,1998-2013,16,0.189
SOUTH_CHINA_SEA,36,CHL,1998-2013,16,0.185
SULU_CELEBES_SEA,37,CHL,1998-2013,16,0.161
KUROSHIO_CURRENT,49,CHL,1998-2013,16,0.157
NORTHWEST_AUSTRALIAN_SHELF,45,CHL,1998-2013,16,0.154
AGULHAS_CURRENT,30,CHL,1998-2013,16,0.151
WEST_CENTRAL_AUSTRALIAN_SHELF,44,CHL,1998-2013,16,0.145
MEDITERRANEAN_SEA,26,CHL,1998-2013,16,0.144
CARIBBEAN_SEA,12,CHL,1998-2013,16,0.141
EAST_CENTRAL_AUSTRALIAN_SHELF,41,CHL,1998-2013,16,0.129
NORTHEAST_AUSTRALIAN_SHELF,40,CHL,1998-2013,16,0.099
EAST_BRAZIL_SHELF,16,CHL,1998-2013,16,0.087
PACIFIC_WARM_POOL,99,CHL,1998-2013,16,0.068
INSULAR_PACIFIC_HAWAIIAN,10,CHL,1998-2013,16,0.059
