LME_number,Shelf area based on GEBCO (km2)
1,808920.57
2,276902.31
3,108358.46
4,72646.29
5,554182.55
6,125638.58
7,264238.40
8,286380.42
9,378309.96
10,11121.09
11,197940.87
12,488034.89
13,239010.75
14,1005659.48
15,277789.68
16,152799.91
17,459536.79
18,132981.34
19,110595.66
20,894939.98
21,61883.35
22,571696.37
23,381368.54
24,510468.46
25,51854.84
26,510135.57
27,176052.53
28,273883.71
29,196486.20
30,314043.80
31,60381.83
32,662964.34
33,167130.41
34,625958.68
35,382747.73
36,1476284.56
37,204922.90
38,741098.13
39,714205.34
40,292248.48
41,63669.55
42,212928.05
43,313413.95
44,87480.26
45,349544.87
46,217540.69
47,566440.64
48,430451.31
49,95628.66
50,200776.10
51,48075.54
52,627046.17
53,293092.40
54,559707.41
55,86534.65
56,911105.10
57,499185.32
58,755068.95
59,177654.31
60,22550.15
61,491797.81
62,145841.22
63,1058544.33
64,1535.45
65,587167.10
66,154023.94
,
,24178607.68
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
