lme_nbr,lme_name,stnbasin_area,qact,ld_din,ld_don,ld_pn,ld_dip,ld_dop,ld_pp,ld_dsi,ld_tn,ld_tp,icep_n,icep_p,icep,ld_din_cat,icep_cat,mergedind_cat
52,Sea of Okhotsk,2 465 683,488.80,0.3043,0.1874,0.1606,0.03003,0.01064,0.06854,2.249,0.6523,0.10921,-1.56,-0.70,-1.56,3,2,3
53,West Bering Sea,276 349,114.67,0.0216,0.0306,0.0401,0.00134,0.00164,0.01781,0.979,0.0924,0.02078,-16.84,-13.59,-16.84,1,1,1
54,Northern Bering - Chukchi Seas,1 502 961,158.30,0.0352,0.0580,0.0752,0.00114,0.00310,0.03455,0.723,0.1684,0.03880,-1.25,-0.09,-1.25,1,2,1
55,Beaufort Sea,2 912 687,238.81,0.0400,0.0943,0.1188,0.00095,0.00506,0.05249,0.664,0.2531,0.05849,-0.07,0.84,-0.07,1,3,1
56,East Siberian Sea,1 220 773,123.48,0.0272,0.0567,0.0441,0.00080,0.00304,0.01861,0.255,0.1280,0.02245,0.33,0.77,0.33,1,3,1
57,Laptev Sea,3 691 273,438.81,0.0813,0.2023,0.2244,0.00458,0.01083,0.09604,1.126,0.5080,0.11144,0.24,1.50,0.24,1,3,1
58,Kara Sea,6 647 383,939.64,0.2695,0.3774,0.2829,0.01682,0.01985,0.11993,2.532,0.9297,0.15660,-0.19,0.28,-0.19,3,3,3
59,Iceland Shelf and Sea,85 750,62.38,0.0185,0.0161,0.0217,0.00099,0.00086,0.00994,0.444,0.0562,0.01179,-22.02,-16.77,-22.02,1,1,1
60,Faroe Plateau,1 438,1.42,0.0002,0.0004,0.0000,0.00002,0.00002,0.00000,0.018,0.0006,0.00005,-71.15,-74.12,-74.12,1,1,1
62,Black Sea,2 403 629,345.22,0.3876,0.1548,0.0771,0.06012,0.00630,0.03637,0.936,0.6194,0.10280,1.59,2.38,1.59,3,4,4
63,Hudson Bay Complex,4 038 633,917.03,0.2078,0.2555,0.1250,0.00715,0.01373,0.05192,1.824,0.5883,0.07280,-0.54,-0.78,-0.78,2,3,2
66,Canadian High Arctic - North Greenland,355 457,25.59,0.0020,0.0066,0.0383,0.00009,0.00035,0.01901,0.016,0.0469,0.01946,1.77,5.87,1.77,1,4,1
