IYear;LME;Catch (tonnes/year);Landed value (USD/year);;;
1950;1;160928.7427;250610954.8;;;Annual catch and landed values in LMEs
1950;2;325795.3672;266876173.5;;;** annual landed values are in 2005 real US dollar
1950;3;480520.2167;338786978.2;;;
1950;4;21284.00214;25759229.53;;;
1950;5;338095.31;441170190.4;;;
1950;6;48197.99599;120609614.6;;;
1950;7;1025587.125;3451323832;;;
1950;8;267111.3747;517238995.1;;;
1950;9;373595.6835;698403345.3;;;
1950;10;45593.08798;110853535.6;;;
1950;11;21015.71388;20878657.49;;;
1950;12;79632.14523;143938614.2;;;
1950;13;109777.9554;223592137.4;;;
1950;14;38893.65455;107749625.7;;;
1950;15;26717.95584;121702658.2;;;
1950;16;53729.30256;188434687.7;;;
1950;17;37687.26681;136688752.4;;;
1950;18;75840.659;123540474;;;
1950;19;568175.8264;1035549655;;;
1950;20;716072.3318;791641746.7;;;
1950;21;539629.4804;390649335.9;;;
1950;22;1815209.021;2047976307;;;
1950;23;195081.4125;203525380.5;;;
1950;24;386663.8886;488097653.7;;;
1950;25;348165.9338;273213898;;;
1950;26;422283.4798;539301095.3;;;
1950;27;155770.3497;129575335.3;;;
1950;28;94161.60669;69442609.17;;;
1950;29;251002.0521;223861323.3;;;
1950;30;140266.3334;98150904.4;;;
1950;31;13155.78009;14941841.54;;;
1950;32;467401.9292;421115595;;;
1950;33;15273.38331;15231790.38;;;
1950;34;271699.4683;261615288.5;;;
1950;35;123199.6587;95277166.4;;;
1950;36;491493.8202;819962474.3;;;
1950;37;88894.68938;84310524.9;;;
1950;38;31941.52313;20890770.49;;;
1950;39;2531.600067;2754623.858;;;
1950;40;2642.414375;2946308.821;;;
1950;41;4765.125149;4814397.708;;;
1950;42;3162.050231;4260557.168;;;
1950;43;3359.343787;4340458.439;;;
1950;44;5340.251289;11437888.06;;;
1950;45;2637.26496;4047386.766;;;
1950;46;25197.99805;27044109.12;;;
1950;47;967708.7243;1039029653;;;
1950;48;406907.5649;771579861.3;;;
1950;49;705075.0307;381895811.8;;;
1950;50;650994.934;551310003;;;
1950;51;194045.9661;93030925.37;;;
1950;52;353960.3887;255349493.9;;;
1950;53;155106.005;108266678.5;;;
1950;54;1121.227913;1985304.098;;;
1950;55;221.7779496;408856.2554;;;
1950;56;2199.999954;2848284.539;;;
1950;57;3713.000007;4884305.98;;;
1950;58;14896.32494;18970902.36;;;
1950;59;75305.59052;104606179.4;;;
1950;60;69629.37249;91731224.14;;;
1950;61;52.48057334;119139.0831;;;
1950;62;227641.3882;135824904.3;;;
1950;63;2920.113148;5916947.08;;;
1950;64;1379.184371;2544126.055;;;
1950;65;1478.535149;3038268.216;;;
1950;66;175746.8917;356972899.9;;;
1951;1;203547.2263;321578894.6;;;
1951;2;332659.0399;325267603.6;;;
1951;3;290017.7318;265602888.2;;;
1951;4;21386.97765;28222034.65;;;
1951;5;376834.5248;468775879.3;;;
1951;6;53952.48115;127752941.8;;;
1951;7;969543.1636;3185720844;;;
1951;8;233465.3146;362537238.3;;;
1951;9;359596.2112;529737946;;;
1951;10;36572.91151;76503371.03;;;
1951;11;26064.53587;25722078.21;;;
1951;12;77883.66795;143797628.9;;;
1951;13;131583.0752;250399820.1;;;
1951;14;59749.03819;141309515.2;;;
1951;15;29094.03324;131550141;;;
1951;16;48062.95271;144222227.4;;;
1951;17;49922.94712;194583363;;;
1951;18;87319.44237;111698022.8;;;
1951;19;858272.8476;1157184489;;;
1951;20;919350.7167;973220900.5;;;
1951;21;873573.9672;743923517.7;;;
1951;22;2065097.395;2074413633;;;
1951;23;191137.9394;167103174.4;;;
1951;24;421323.1593;531390668.4;;;
1951;25;342244.7641;257893872.2;;;
1951;26;437257.8296;540413619.8;;;
1951;27;126483.7724;105285293.1;;;
1951;28;95390.1941;69151924.27;;;
1951;29;353360.1619;306315628;;;
1951;30;182950.9197;100142880.9;;;
1951;31;13165.04893;14421205.99;;;
1951;32;440631.899;365114506.2;;;
1951;33;15133.09888;16173151.68;;;
1951;34;269306.7584;249888653.3;;;
1951;35;129942.7451;114456921.6;;;
1951;36;717821.1167;1165713676;;;
1951;37;117713.0181;105184838.7;;;
1951;38;158005.7322;99601765.71;;;
1951;39;8136.052287;8594806.07;;;
1951;40;6810.46555;7298963.245;;;
1951;41;6523.805319;6912520.862;;;
1951;42;3304.927223;4153431.774;;;
1951;43;4051.527514;5047490.329;;;
1951;44;4198.715965;8989307.405;;;
1951;45;3940.649307;5755691.372;;;
1951;46;24939.88157;26946577.86;;;
1951;47;1165834.483;1315166918;;;
1951;48;463985.0367;784349765.2;;;
1951;49;765425.4765;433803194.5;;;
1951;50;723651.3481;610597575.1;;;
1951;51;229025.0633;116465695.6;;;
1951;52;528602.4781;425200398;;;
1951;53;243071.8829;182583805;;;
1951;54;1128.589396;2102994.643;;;
1951;55;221.6103997;436245.5727;;;
1951;56;2200.000018;3292071.099;;;
1951;57;3713.000007;5579126.862;;;
1951;58;14786.34569;21304708.23;;;
1951;59;100587.6435;109385272.6;;;
1951;60;105665.4935;115678174;;;
1951;61;81.65963145;193947.8026;;;
1951;62;282938.3846;154823611;;;
1951;63;2799.179206;5073284.286;;;
1951;64;2280.332894;4070333.841;;;
1951;65;1376.589681;2324562.849;;;
1951;66;157177.9938;225122697.2;;;
1952;1;236984.5692;319416873.6;;;
1952;2;257474.2131;229613163;;;
1952;3;175420.9806;190627429;;;
1952;4;14673.18374;21431636.56;;;
1952;5;471997.3001;496816835.5;;;
1952;6;57124.40658;133617955.7;;;
1952;7;964092.5444;3250442754;;;
1952;8;270339.6602;228917535;;;
1952;9;437651.5127;382496362.1;;;
1952;10;32571.27067;67134204.27;;;
1952;11;20176.3682;21891111.17;;;
1952;12;70748.97338;124892921.5;;;
1952;13;150367.2538;356105972.1;;;
1952;14;64499.61226;181553912.6;;;
1952;15;32209.21079;142703103.6;;;
1952;16;50405.79257;152719923;;;
1952;17;51926.56932;201138132.9;;;
1952;18;150076.7999;214447737.2;;;
1952;19;829502.9825;1156853734;;;
1952;20;900364.0542;883675488.3;;;
1952;21;875967.8703;611127239.6;;;
1952;22;2048052.478;1760491447;;;
1952;23;197818.3239;150643330.3;;;
1952;24;470925.4208;584419757.3;;;
1952;25;339480.5148;251587533.9;;;
1952;26;458066.5709;537336952.4;;;
1952;27;167026.3518;152722782.8;;;
