IYear;LME;EcolFP
1953;55;0.00019507
1953;56;0.000218834
1953;57;0.000388895
1953;58;0.000955467
1953;59;0.103599831
1953;60;1.045887365
1953;61;4.30943E-06
1953;62;0.036951018
1953;63;0.002672256
1953;64;0.002399076
1953;65;0.003101539
1953;66;0.313159959
1954;1;0.062293202
1954;2;0.041661336
1954;3;0.018648072
1954;4;0.00494494
1954;5;0.022292085
1954;6;0.024240146
1954;7;0.266886946
1954;8;0.366922991
1954;9;0.68997088
1954;10;0.037005406
1954;11;0.004777945
1954;12;0.012134014
1954;13;0.033819663
1954;14;0.00998976
1954;15;0.006102357
1954;16;0.010082232
1954;17;0.006618022
1954;18;0.462694408
1954;19;1.746141493
1954;20;0.300662803
1954;21;0.35607911
1954;22;0.535529454
1954;23;0.150446582
1954;24;0.24292529
1954;25;0.535423205
1954;26;0.049516307
1954;27;0.014574112
1954;28;0.007863824
1954;29;0.024720851
1954;30;0.009830615
1954;31;0.002510561
1954;32;0.023422534
1954;33;0.008509098
1954;34;0.027489879
1954;35;0.040293669
1954;36;0.108265965
1954;37;0.039699115
1954;38;0.027655093
1954;39;0.007953603
1954;40;0.020249009
1954;41;0.004949458
1954;42;0.002871061
1954;43;0.005728952
1954;44;0.005854472
1954;45;0.007992292
1954;46;0.005644948
1954;47;0.373134283
1954;48;0.26658654
1954;49;0.203900043
1954;50;0.25150603
1954;51;0.125686253
1954;52;0.124942755
1954;53;0.050845829
1954;54;0.000408257
1954;55;0.00020238
1954;56;0.000218834
1954;57;0.000388895
1954;58;0.000950388
1954;59;0.148122158
1954;60;0.754150009
1954;61;5.29068E-06
1954;62;0.038890765
1954;63;0.003188148
1954;64;0.002113817
1954;65;0.003787075
1954;66;0.401166416
1955;1;0.069748438
1955;2;0.045255133
1955;3;0.018199908
1955;4;0.0051628
1955;5;0.024650251
1955;6;0.024918423
1955;7;0.259798548
1955;8;0.34989044
1955;9;0.677499606
1955;10;0.034206702
1955;11;0.005734073
1955;12;0.014408413
1955;13;0.046763189
1955;14;0.009924746
1955;15;0.006666773
1955;16;0.009869975
1955;17;0.00838952
1955;18;0.467663657
1955;19;1.441615892
1955;20;0.637437703
1955;21;0.360478006
1955;22;0.502548467
1955;23;0.248027111
1955;24;0.168324317
1955;25;0.667251117
1955;26;0.055737139
1955;27;0.016555157
1955;28;0.008335831
1955;29;0.026059754
1955;30;0.012349705
1955;31;0.004869514
1955;32;0.030446683
1955;33;0.013717517
1955;34;0.028501531
1955;35;0.040995869
1955;36;0.143215679
1955;37;0.039762847
1955;38;0.028754453
